62.245.0.0,62.245.31.255,hosting,BR,AS136907 
62.245.239.32,62.245.239.39,business,DE,AS8767 
62.245.239.40,62.245.239.55,isp,DE,AS8767 
62.245.239.56,62.245.239.71,business,DE,AS8767 
62.245.239.72,62.245.239.75,isp,DE,AS8767 
62.245.239.76,62.245.239.79,business,DE,AS8767 
62.245.239.80,62.245.239.95,isp,DE,AS8767 
62.245.239.96,62.245.239.111,business,DE,AS8767 
62.245.239.112,62.245.239.119,isp,DE,AS8767 
62.245.239.120,62.245.239.191,business,DE,AS8767 
62.245.239.192,62.245.239.215,isp,DE,AS8767 
62.245.239.216,62.245.239.219,business,DE,AS8767 
62.245.239.220,62.245.239.239,isp,DE,AS8767 
62.245.239.240,62.245.239.247,business,DE,AS8767 
62.245.239.248,62.245.243.255,isp,DE,AS8767 
62.245.244.0,62.245.244.7,business,DE,AS8767 
62.245.244.8,62.245.244.15,isp,DE,AS8767 
62.245.244.16,62.245.244.39,business,DE,AS8767 
62.245.244.40,62.245.244.63,isp,DE,AS8767 
62.245.244.64,62.245.244.67,business,DE,AS8767 
62.245.244.68,62.245.244.71,isp,DE,AS8767 
62.245.244.72,62.245.244.87,business,DE,AS8767 
62.245.244.88,62.245.244.95,isp,DE,AS8767 
62.245.244.96,62.245.244.111,business,DE,AS8767 
62.245.244.112,62.245.244.127,isp,DE,AS8767 
62.245.244.128,62.245.244.135,business,DE,AS8767 
62.245.244.136,62.245.244.151,isp,DE,AS8767 
62.245.244.152,62.245.244.167,business,DE,AS8767 
62.245.244.168,62.245.244.175,isp,DE,AS8767 
62.245.244.176,62.245.244.239,business,DE,AS8767 
62.245.244.240,62.245.244.255,isp,DE,AS8767 
62.245.245.0,62.245.245.3,business,DE,AS8767 
62.245.245.4,62.245.245.7,isp,DE,AS8767 
62.245.245.8,62.245.245.15,business,DE,AS8767 
62.245.245.16,62.245.245.23,isp,DE,AS8767 
62.245.245.24,62.245.245.31,business,DE,AS8767 
62.245.245.32,62.245.245.39,isp,DE,AS8767 
62.245.245.40,62.245.245.51,business,DE,AS8767 
62.245.245.52,62.245.245.63,isp,DE,AS8767 
62.245.245.64,62.245.245.79,business,DE,AS8767 
62.245.245.80,62.245.245.95,isp,DE,AS8767 
62.245.245.96,62.245.245.115,business,DE,AS8767 
62.245.245.116,62.245.245.123,isp,DE,AS8767 
62.245.245.124,62.245.245.127,business,DE,AS8767 
62.245.245.128,62.245.245.255,isp,DE,AS8767 
62.245.246.0,62.245.246.95,business,DE,AS8767 
62.245.246.96,62.245.246.111,isp,DE,AS8767 
62.245.246.112,62.245.246.119,business,DE,AS8767 
62.245.246.120,62.245.246.151,isp,DE,AS8767 
62.245.246.152,62.245.246.191,business,DE,AS8767 
62.245.246.192,62.245.246.227,isp,DE,AS8767 
62.245.246.228,62.245.246.231,business,DE,AS8767 
62.245.246.232,62.245.246.247,isp,DE,AS8767 
62.245.246.248,62.245.246.255,business,DE,AS8767 
62.245.247.0,62.245.247.7,isp,DE,AS8767 
62.245.247.8,62.245.247.11,business,DE,AS8767 
62.245.247.12,62.245.247.31,isp,DE,AS8767 
62.245.247.32,62.245.247.35,business,DE,AS8767 
62.245.247.36,62.245.247.39,isp,DE,AS8767 
62.245.247.40,62.245.247.55,business,DE,AS8767 
62.245.247.56,62.245.247.87,isp,DE,AS8767 
62.245.247.88,62.245.247.95,business,DE,AS8767 
62.245.247.96,62.245.247.99,isp,DE,AS8767 
62.245.247.100,62.245.247.191,business,DE,AS8767 
62.245.247.192,62.245.247.211,isp,DE,AS8767 
62.245.247.212,62.245.247.215,business,DE,AS8767 
62.245.247.216,62.245.247.223,isp,DE,AS8767 
62.245.247.224,62.245.247.232,business,DE,AS8767 
62.245.247.233,62.245.247.239,isp,DE,AS8767 
62.245.247.240,62.245.249.255,business,DE,AS8767 
62.245.250.0,62.245.250.255,isp,DE,AS8767 
62.245.251.0,62.245.251.255,business,DE,AS8767 
62.245.252.0,62.245.253.255,isp,DE,AS8767 
62.245.254.0,62.245.254.31,business,DE,AS8767 
62.245.254.32,62.245.254.63,isp,DE,AS8767 
62.245.254.64,62.245.254.127,business,DE,AS8767 
62.245.254.128,62.245.254.135,isp,DE,AS8767 
62.245.254.136,62.245.254.143,business,DE,AS8767 
62.245.254.144,62.245.254.151,isp,DE,AS8767 
62.245.254.152,62.245.254.191,business,DE,AS8767 
62.245.254.192,62.245.254.223,isp,DE,AS8767 
62.245.254.224,62.245.254.255,business,DE,AS8767 
62.245.255.0,62.245.255.255,isp,DE,AS8767 
