88.149.0.0,88.149.55.255,business,IS,AS12969 
88.149.231.216,88.149.231.223,business,IT,AS35612 
88.149.231.224,88.149.231.231,isp,IT,AS35612 
88.149.231.232,88.149.231.239,business,IT,AS35612 
88.149.231.240,88.149.232.31,isp,IT,AS35612 
88.149.232.32,88.149.232.39,business,IT,AS35612 
88.149.232.40,88.149.232.71,isp,IT,AS35612 
88.149.232.72,88.149.232.87,business,IT,AS35612 
88.149.232.88,88.149.232.95,isp,IT,AS35612 
88.149.232.96,88.149.232.103,business,IT,AS35612 
88.149.232.104,88.149.232.111,isp,IT,AS35612 
88.149.232.112,88.149.232.119,business,IT,AS35612 
88.149.232.120,88.149.232.127,isp,IT,AS35612 
88.149.232.128,88.149.232.135,business,IT,AS35612 
88.149.232.136,88.149.232.239,isp,IT,AS35612 
88.149.232.240,88.149.232.247,business,IT,AS35612 
88.149.232.248,88.149.232.255,isp,IT,AS35612 
88.149.233.0,88.149.233.255,business,IT,AS35612 
88.149.234.0,88.149.252.7,isp,IT,AS35612 
88.149.252.8,88.149.252.15,business,IT,AS35612 
88.149.252.16,88.149.252.55,isp,IT,AS35612 
88.149.252.56,88.149.252.71,business,IT,AS35612 
88.149.252.72,88.149.252.79,isp,IT,AS35612 
88.149.252.80,88.149.252.87,business,IT,AS35612 
88.149.252.88,88.149.252.127,isp,IT,AS35612 
88.149.252.128,88.149.252.143,business,IT,AS35612 
88.149.252.144,88.149.252.167,isp,IT,AS35612 
88.149.252.168,88.149.252.183,business,IT,AS35612 
88.149.252.184,88.149.252.191,isp,IT,AS35612 
88.149.252.192,88.149.252.207,business,IT,AS35612 
88.149.252.208,88.149.252.223,isp,IT,AS35612 
88.149.252.224,88.149.252.239,business,IT,AS35612 
88.149.252.240,88.149.252.247,isp,IT,AS35612 
88.149.252.248,88.149.252.255,business,IT,AS35612 
88.149.253.0,88.149.254.7,isp,IT,AS35612 
88.149.254.8,88.149.254.15,business,IT,AS35612 
88.149.254.16,88.149.254.39,isp,IT,AS35612 
88.149.254.40,88.149.254.47,business,IT,AS35612 
88.149.254.48,88.149.254.63,isp,IT,AS35612 
88.149.254.64,88.149.254.79,business,IT,AS35612 
88.149.254.80,88.149.254.103,isp,IT,AS35612 
88.149.254.104,88.149.254.111,business,IT,AS35612 
88.149.254.112,88.149.254.119,isp,IT,AS35612 
88.149.254.120,88.149.254.143,business,IT,AS35612 
88.149.254.144,88.149.254.151,isp,IT,AS35612 
88.149.254.152,88.149.254.159,business,IT,AS35612 
88.149.254.160,88.149.254.175,isp,IT,AS35612 
88.149.254.176,88.149.254.183,business,IT,AS35612 
88.149.254.184,88.149.254.199,isp,IT,AS35612 
88.149.254.200,88.149.254.207,business,IT,AS35612 
88.149.254.208,88.149.254.215,isp,IT,AS35612 
88.149.254.216,88.149.254.223,business,IT,AS35612 
88.149.254.224,88.149.254.247,isp,IT,AS35612 
88.149.254.248,88.149.255.7,business,IT,AS35612 
88.149.255.8,88.149.255.39,isp,IT,AS35612 
88.149.255.40,88.149.255.47,business,IT,AS35612 
88.149.255.48,88.149.255.55,isp,IT,AS35612 
88.149.255.56,88.149.255.63,business,IT,AS35612 
88.149.255.64,88.149.255.95,isp,IT,AS35612 
88.149.255.96,88.149.255.103,business,IT,AS35612 
88.149.255.104,88.149.255.119,isp,IT,AS35612 
88.149.255.120,88.149.255.135,business,IT,AS35612 
88.149.255.136,88.149.255.151,isp,IT,AS35612 
88.149.255.152,88.149.255.159,business,IT,AS35612 
88.149.255.160,88.149.255.199,isp,IT,AS35612 
88.149.255.200,88.149.255.207,business,IT,AS35612 
88.149.255.208,88.149.255.255,isp,IT,AS35612 
