78.133.0.0,78.133.95.255,isp,MT,AS15735 
78.133.208.16,78.133.208.23,isp,PL,AS12912 
78.133.208.24,78.133.208.35,business,PL,AS12912 
78.133.208.36,78.133.208.59,isp,PL,AS12912 
78.133.208.60,78.133.208.63,business,PL,AS12912 
78.133.208.64,78.133.208.95,isp,PL,AS12912 
78.133.208.96,78.133.208.159,business,PL,AS12912 
78.133.208.160,78.133.208.175,isp,PL,AS12912 
78.133.208.176,78.133.208.183,business,PL,AS12912 
78.133.208.184,78.133.208.191,isp,PL,AS12912 
78.133.208.192,78.133.208.199,business,PL,AS12912 
78.133.208.200,78.133.208.239,isp,PL,AS12912 
78.133.208.240,78.133.208.255,business,PL,AS12912 
78.133.209.0,78.133.214.7,isp,PL,AS12912 
78.133.214.8,78.133.214.15,business,PL,AS12912 
78.133.214.16,78.133.214.47,isp,PL,AS12912 
78.133.214.48,78.133.214.55,business,PL,AS12912 
78.133.214.56,78.133.214.79,isp,PL,AS12912 
78.133.214.80,78.133.214.87,business,PL,AS12912 
78.133.214.88,78.133.214.103,isp,PL,AS12912 
78.133.214.104,78.133.214.111,business,PL,AS12912 
78.133.214.112,78.133.214.123,isp,PL,AS12912 
78.133.214.124,78.133.214.127,business,PL,AS12912 
78.133.214.128,78.133.214.207,isp,PL,AS12912 
78.133.214.208,78.133.214.211,business,PL,AS12912 
78.133.214.212,78.133.214.215,isp,PL,AS12912 
78.133.214.216,78.133.214.223,business,PL,AS12912 
78.133.214.224,78.133.215.3,isp,PL,AS12912 
78.133.215.4,78.133.215.7,business,PL,AS12912 
78.133.215.8,78.133.215.23,isp,PL,AS12912 
78.133.215.24,78.133.215.47,business,PL,AS12912 
78.133.215.48,78.133.215.51,isp,PL,AS12912 
78.133.215.52,78.133.215.71,business,PL,AS12912 
78.133.215.72,78.133.215.95,isp,PL,AS12912 
78.133.215.96,78.133.215.111,business,PL,AS12912 
78.133.215.112,78.133.215.143,isp,PL,AS12912 
78.133.215.144,78.133.215.191,business,PL,AS12912 
78.133.215.192,78.133.216.15,isp,PL,AS12912 
78.133.216.16,78.133.216.31,business,PL,AS12912 
78.133.216.32,78.133.218.3,isp,PL,AS12912 
78.133.218.4,78.133.218.15,business,PL,AS12912 
78.133.218.16,78.133.218.39,isp,PL,AS12912 
78.133.218.40,78.133.218.47,business,PL,AS12912 
78.133.218.48,78.133.218.55,isp,PL,AS12912 
78.133.218.56,78.133.218.71,business,PL,AS12912 
78.133.218.72,78.133.218.83,isp,PL,AS12912 
78.133.218.84,78.133.218.95,business,PL,AS12912 
78.133.218.96,78.133.218.107,isp,PL,AS12912 
78.133.218.108,78.133.218.111,business,PL,AS12912 
78.133.218.112,78.133.218.127,isp,PL,AS12912 
78.133.218.128,78.133.218.167,business,PL,AS12912 
78.133.218.168,78.133.218.183,isp,PL,AS12912 
78.133.218.184,78.133.218.187,business,PL,AS12912 
78.133.218.188,78.133.218.255,isp,PL,AS12912 
78.133.219.0,78.133.219.7,business,PL,AS12912 
78.133.219.8,78.133.219.47,isp,PL,AS12912 
78.133.219.48,78.133.219.63,business,PL,AS12912 
78.133.219.64,78.133.219.255,isp,PL,AS12912 
78.133.220.0,78.133.224.3,business,PL,AS12912 
78.133.224.4,78.133.224.71,isp,PL,AS12912 
78.133.224.72,78.133.224.75,business,PL,AS12912 
78.133.224.76,78.133.224.79,isp,PL,AS12912 
78.133.224.80,78.133.224.87,business,PL,AS12912 
78.133.224.88,78.133.224.103,isp,PL,AS12912 
78.133.224.104,78.133.224.107,business,PL,AS12912 
78.133.224.108,78.133.224.143,isp,PL,AS12912 
78.133.224.144,78.133.224.151,business,PL,AS12912 
78.133.224.152,78.133.224.159,isp,PL,AS12912 
78.133.224.160,78.133.224.167,business,PL,AS12912 
78.133.224.168,78.133.224.179,isp,PL,AS12912 
78.133.224.180,78.133.224.183,business,PL,AS12912 
78.133.224.184,78.133.224.191,isp,PL,AS12912 
78.133.224.192,78.133.224.195,business,PL,AS12912 
78.133.224.196,78.133.224.251,isp,PL,AS12912 
78.133.224.252,78.133.225.7,business,PL,AS12912 
78.133.225.8,78.133.225.15,isp,PL,AS12912 
78.133.225.16,78.133.225.19,business,PL,AS12912 
78.133.225.20,78.133.225.23,isp,PL,AS12912 
78.133.225.24,78.133.225.47,business,PL,AS12912 
78.133.225.48,78.133.225.67,isp,PL,AS12912 
78.133.225.68,78.133.225.87,business,PL,AS12912 
78.133.225.88,78.133.225.91,isp,PL,AS12912 
78.133.225.92,78.133.225.95,business,PL,AS12912 
78.133.225.96,78.133.225.103,isp,PL,AS12912 
78.133.225.104,78.133.225.111,business,PL,AS12912 
78.133.225.112,78.133.225.127,isp,PL,AS12912 
78.133.225.128,78.133.225.159,business,PL,AS12912 
78.133.225.160,78.133.225.175,isp,PL,AS12912 
78.133.225.176,78.133.225.191,business,PL,AS12912 
78.133.225.192,78.133.225.223,isp,PL,AS12912 
78.133.225.224,78.133.225.227,business,PL,AS12912 
78.133.225.228,78.133.225.231,isp,PL,AS12912 
78.133.225.232,78.133.225.239,business,PL,AS12912 
78.133.225.240,78.133.226.11,isp,PL,AS12912 
78.133.226.12,78.133.226.15,business,PL,AS12912 
78.133.226.16,78.133.226.31,isp,PL,AS12912 
78.133.226.32,78.133.226.47,business,PL,AS12912 
78.133.226.48,78.133.226.51,isp,PL,AS12912 
78.133.226.52,78.133.226.55,business,PL,AS12912 
78.133.226.56,78.133.226.63,isp,PL,AS12912 
78.133.226.64,78.133.226.103,business,PL,AS12912 
78.133.226.104,78.133.226.111,isp,PL,AS12912 
78.133.226.112,78.133.226.131,business,PL,AS12912 
78.133.226.132,78.133.226.143,isp,PL,AS12912 
78.133.226.144,78.133.226.147,business,PL,AS12912 
78.133.226.148,78.133.226.171,isp,PL,AS12912 
78.133.226.172,78.133.226.175,business,PL,AS12912 
78.133.226.176,78.133.226.191,isp,PL,AS12912 
78.133.226.192,78.133.226.199,business,PL,AS12912 
78.133.226.200,78.133.226.239,isp,PL,AS12912 
78.133.226.240,78.133.226.255,business,PL,AS12912 
78.133.227.0,78.133.227.63,isp,PL,AS12912 
78.133.227.64,78.133.227.71,business,PL,AS12912 
78.133.227.72,78.133.227.79,isp,PL,AS12912 
78.133.227.80,78.133.227.91,business,PL,AS12912 
78.133.227.92,78.133.227.99,isp,PL,AS12912 
78.133.227.100,78.133.227.111,business,PL,AS12912 
78.133.227.112,78.133.227.127,isp,PL,AS12912 
78.133.227.128,78.133.227.191,business,PL,AS12912 
78.133.227.192,78.133.227.215,isp,PL,AS12912 
78.133.227.216,78.133.227.239,business,PL,AS12912 
78.133.227.240,78.133.229.255,isp,PL,AS12912 
78.133.230.0,78.133.230.7,business,PL,AS12912 
78.133.230.8,78.133.230.55,isp,PL,AS12912 
78.133.230.56,78.133.230.63,business,PL,AS12912 
78.133.230.64,78.133.231.7,isp,PL,AS12912 
78.133.231.8,78.133.231.15,business,PL,AS12912 
78.133.231.16,78.133.231.63,isp,PL,AS12912 
78.133.231.64,78.133.231.67,business,PL,AS12912 
78.133.231.68,78.133.231.71,isp,PL,AS12912 
78.133.231.72,78.133.231.79,business,PL,AS12912 
78.133.231.80,78.133.231.87,isp,PL,AS12912 
78.133.231.88,78.133.231.91,business,PL,AS12912 
78.133.231.92,78.133.231.95,isp,PL,AS12912 
78.133.231.96,78.133.231.127,business,PL,AS12912 
78.133.231.128,78.133.231.163,isp,PL,AS12912 
78.133.231.164,78.133.231.167,business,PL,AS12912 
78.133.231.168,78.133.231.183,isp,PL,AS12912 
78.133.231.184,78.133.231.203,business,PL,AS12912 
78.133.231.204,78.133.231.223,isp,PL,AS12912 
78.133.231.224,78.133.231.239,business,PL,AS12912 
78.133.231.240,78.133.231.251,isp,PL,AS12912 
78.133.231.252,78.133.231.255,business,PL,AS12912 
78.133.232.0,78.133.233.7,isp,PL,AS12912 
78.133.233.8,78.133.233.15,business,PL,AS12912 
78.133.233.16,78.133.233.19,isp,PL,AS12912 
78.133.233.20,78.133.233.23,business,PL,AS12912 
78.133.233.24,78.133.233.31,isp,PL,AS12912 
78.133.233.32,78.133.233.59,business,PL,AS12912 
78.133.233.60,78.133.233.95,isp,PL,AS12912 
78.133.233.96,78.133.233.127,business,PL,AS12912 
78.133.233.128,78.133.233.131,isp,PL,AS12912 
78.133.233.132,78.133.233.135,business,PL,AS12912 
78.133.233.136,78.133.233.151,isp,PL,AS12912 
78.133.233.152,78.133.233.155,business,PL,AS12912 
78.133.233.156,78.133.233.159,isp,PL,AS12912 
78.133.233.160,78.133.233.175,business,PL,AS12912 
78.133.233.176,78.133.233.207,isp,PL,AS12912 
78.133.233.208,78.133.233.223,business,PL,AS12912 
78.133.233.224,78.133.236.11,isp,PL,AS12912 
78.133.236.12,78.133.236.23,business,PL,AS12912 
78.133.236.24,78.133.236.255,isp,PL,AS12912 
78.133.237.0,78.133.237.255,business,PL,AS206957 
78.133.238.0,78.133.239.255,business,PL,AS12912 
78.133.240.0,78.133.243.255,isp,PL,AS197848 
78.133.244.0,78.133.244.31,business,PL,AS12912 
78.133.244.32,78.133.244.59,isp,PL,AS12912 
78.133.244.60,78.133.244.63,business,PL,AS12912 
78.133.244.64,78.133.244.79,isp,PL,AS12912 
78.133.244.80,78.133.244.87,business,PL,AS12912 
78.133.244.88,78.133.245.15,isp,PL,AS12912 
78.133.245.16,78.133.245.31,business,PL,AS12912 
78.133.245.32,78.133.245.63,isp,PL,AS12912 
78.133.245.64,78.133.245.95,business,PL,AS12912 
78.133.245.96,78.133.245.119,isp,PL,AS12912 
78.133.245.120,78.133.245.127,business,PL,AS12912 
78.133.245.128,78.133.245.135,isp,PL,AS12912 
78.133.245.136,78.133.245.139,business,PL,AS12912 
78.133.245.140,78.133.245.143,isp,PL,AS12912 
78.133.245.144,78.133.245.147,business,PL,AS12912 
78.133.245.148,78.133.245.151,isp,PL,AS12912 
78.133.245.152,78.133.245.191,business,PL,AS12912 
78.133.245.192,78.133.245.223,isp,PL,AS12912 
78.133.245.224,78.133.245.239,business,PL,AS12912 
78.133.245.240,78.133.245.247,isp,PL,AS12912 
78.133.245.248,78.133.245.251,business,PL,AS12912 
78.133.245.252,78.133.245.255,isp,PL,AS12912 
78.133.246.0,78.133.246.255,hosting,PL,AS198591 
78.133.247.0,78.133.247.7,isp,PL,AS12912 
78.133.247.8,78.133.247.15,business,PL,AS12912 
78.133.247.16,78.133.247.63,isp,PL,AS12912 
78.133.247.64,78.133.247.99,business,PL,AS12912 
78.133.247.100,78.133.247.175,isp,PL,AS12912 
78.133.247.176,78.133.247.191,business,PL,AS12912 
78.133.247.192,78.133.247.203,isp,PL,AS12912 
78.133.247.204,78.133.247.207,business,PL,AS12912 
78.133.247.208,78.133.247.215,isp,PL,AS12912 
78.133.247.216,78.133.247.227,business,PL,AS12912 
78.133.247.228,78.133.247.239,isp,PL,AS12912 
78.133.247.240,78.133.247.247,business,PL,AS12912 
78.133.247.248,78.133.248.71,isp,PL,AS12912 
78.133.248.72,78.133.248.103,business,PL,AS12912 
78.133.248.104,78.133.248.143,isp,PL,AS12912 
78.133.248.144,78.133.248.151,business,PL,AS12912 
78.133.248.152,78.133.248.159,isp,PL,AS12912 
78.133.248.160,78.133.248.167,business,PL,AS12912 
78.133.248.168,78.133.248.179,isp,PL,AS12912 
78.133.248.180,78.133.248.183,business,PL,AS12912 
78.133.248.184,78.133.248.215,isp,PL,AS12912 
78.133.248.216,78.133.248.223,business,PL,AS12912 
78.133.248.224,78.133.248.255,isp,PL,AS12912 
78.133.249.0,78.133.249.3,business,PL,AS12912 
78.133.249.4,78.133.249.7,isp,PL,AS12912 
78.133.249.8,78.133.249.11,business,PL,AS12912 
78.133.249.12,78.133.249.15,isp,PL,AS12912 
78.133.249.16,78.133.249.23,business,PL,AS12912 
78.133.249.24,78.133.249.31,isp,PL,AS12912 
78.133.249.32,78.133.249.63,business,PL,AS12912 
78.133.249.64,78.133.249.79,isp,PL,AS12912 
78.133.249.80,78.133.249.95,business,PL,AS12912 
78.133.249.96,78.133.249.159,isp,PL,AS12912 
78.133.249.160,78.133.249.175,business,PL,AS12912 
78.133.249.176,78.133.249.183,isp,PL,AS12912 
78.133.249.184,78.133.249.223,business,PL,AS12912 
78.133.249.224,78.133.253.27,isp,PL,AS12912 
78.133.253.28,78.133.253.31,business,PL,AS12912 
78.133.253.32,78.133.253.55,isp,PL,AS12912 
78.133.253.56,78.133.253.63,business,PL,AS12912 
78.133.253.64,78.133.253.79,isp,PL,AS12912 
78.133.253.80,78.133.253.87,business,PL,AS12912 
78.133.253.88,78.133.253.119,isp,PL,AS12912 
78.133.253.120,78.133.253.159,business,PL,AS12912 
78.133.253.160,78.133.253.255,isp,PL,AS12912 
78.133.254.0,78.133.254.127,business,PL,AS12912 
78.133.254.128,78.133.255.31,isp,PL,AS12912 
78.133.255.32,78.133.255.55,business,PL,AS12912 
78.133.255.56,78.133.255.59,isp,PL,AS12912 
78.133.255.60,78.133.255.63,business,PL,AS12912 
78.133.255.64,78.133.255.71,isp,PL,AS12912 
78.133.255.72,78.133.255.75,business,PL,AS12912 
78.133.255.76,78.133.255.79,isp,PL,AS12912 
78.133.255.80,78.133.255.95,business,PL,AS12912 
78.133.255.96,78.133.255.135,isp,PL,AS12912 
78.133.255.136,78.133.255.139,business,PL,AS12912 
78.133.255.140,78.133.255.143,isp,PL,AS12912 
78.133.255.144,78.133.255.151,business,PL,AS12912 
78.133.255.152,78.133.255.203,isp,PL,AS12912 
78.133.255.204,78.133.255.215,business,PL,AS12912 
78.133.255.216,78.133.255.255,isp,PL,AS12912 
