77.95.103.40,77.95.103.47,education,NL,AS34756 
77.95.103.48,77.95.103.63,hosting,NL,AS34756 
77.95.103.64,77.95.103.127,business,NL,AS34756 
77.95.103.128,77.95.103.191,hosting,NL,AS34756 
77.95.103.192,77.95.103.255,business,NL,AS34756 
77.95.104.0,77.95.111.255,business,SE,AS1257 
77.95.112.0,77.95.112.255,hosting,GB,AS50078 
77.95.113.0,77.95.113.255,hosting,GB,AS51713 
77.95.114.0,77.95.114.255,hosting,GB,AS16303 
77.95.115.0,77.95.115.255,hosting,GB,AS209318 
77.95.116.0,77.95.119.255,hosting,AU,AS133499 
77.95.120.0,77.95.127.255,isp,CH,AS39040 
77.95.128.0,77.95.128.255,hosting,RU,AS43226 
77.95.129.0,77.95.129.255,isp,RU,AS43226 
77.95.130.0,77.95.130.191,hosting,RU,AS43226 
77.95.130.192,77.95.130.255,isp,RU,AS43226 
77.95.131.0,77.95.135.255,hosting,RU,AS43226 
77.95.136.0,77.95.143.255,hosting,IT,AS28716 
77.95.144.0,77.95.145.119,business,FI,AS29282 
77.95.145.120,77.95.145.167,isp,FI,AS29282 
77.95.145.168,77.95.146.159,business,FI,AS29282 
77.95.146.160,77.95.146.191,isp,FI,AS29282 
77.95.146.192,77.95.146.223,business,FI,AS29282 
77.95.146.224,77.95.146.255,isp,FI,AS29282 
77.95.147.0,77.95.147.159,business,FI,AS29282 
77.95.147.160,77.95.147.207,isp,FI,AS29282 
77.95.147.208,77.95.148.95,business,FI,AS29282 
77.95.148.96,77.95.148.111,isp,FI,AS29282 
77.95.148.112,77.95.148.159,business,FI,AS29282 
77.95.148.160,77.95.148.207,isp,FI,AS29282 
77.95.148.208,77.95.148.223,business,FI,AS29282 
77.95.148.224,77.95.148.255,isp,FI,AS29282 
77.95.149.0,77.95.149.95,business,FI,AS29282 
77.95.149.96,77.95.149.119,isp,FI,AS29282 
77.95.149.120,77.95.149.191,business,FI,AS29282 
77.95.149.192,77.95.149.223,isp,FI,AS29282 
77.95.149.224,77.95.151.63,business,FI,AS29282 
77.95.151.64,77.95.151.79,isp,FI,AS29282 
77.95.151.80,77.95.151.111,business,FI,AS29282 
77.95.151.112,77.95.151.119,isp,FI,AS29282 
77.95.151.120,77.95.151.215,business,FI,AS29282 
77.95.151.216,77.95.151.223,isp,FI,AS29282 
77.95.151.224,77.95.151.255,business,FI,AS29282 
77.95.152.0,77.95.152.255,hosting,ES,AS44762 
77.95.153.0,77.95.159.255,business,ES,AS44762 
77.95.160.0,77.95.167.255,isp,IE,AS39449 
77.95.176.0,77.95.176.191,hosting,GB,AS34555 
77.95.176.192,77.95.176.215,business,GB,AS34555 
77.95.176.216,77.95.176.231,hosting,GB,AS34555 
77.95.176.232,77.95.176.235,business,GB,AS34555 
77.95.176.236,77.95.176.247,hosting,GB,AS34555 
77.95.176.248,77.95.177.23,business,GB,AS34555 
77.95.177.24,77.95.177.31,hosting,GB,AS34555 
77.95.177.32,77.95.177.63,business,GB,AS34555 
77.95.177.64,77.95.177.127,hosting,GB,AS34555 
77.95.177.128,77.95.177.139,business,GB,AS34555 
77.95.177.140,77.95.177.159,hosting,GB,AS34555 
77.95.177.160,77.95.177.167,business,GB,AS34555 
77.95.177.168,77.95.177.179,hosting,GB,AS34555 
77.95.177.180,77.95.177.183,business,GB,AS34555 
77.95.177.184,77.95.177.187,hosting,GB,AS34555 
77.95.177.188,77.95.177.191,business,GB,AS34555 
77.95.177.192,77.95.177.199,hosting,GB,AS34555 
77.95.177.200,77.95.177.207,business,GB,AS34555 
77.95.177.208,77.95.177.255,hosting,GB,AS34555 
77.95.178.0,77.95.178.155,business,GB,AS34555 
77.95.178.156,77.95.178.187,hosting,GB,AS34555 
77.95.178.188,77.95.178.223,business,GB,AS34555 
77.95.178.224,77.95.179.31,hosting,GB,AS34555 
77.95.179.32,77.95.179.191,business,GB,AS34555 
77.95.179.192,77.95.179.203,hosting,GB,AS34555 
77.95.179.204,77.95.179.215,business,GB,AS34555 
77.95.179.216,77.95.179.223,hosting,GB,AS34555 
77.95.179.224,77.95.179.255,business,GB,AS34555 
77.95.180.0,77.95.180.83,hosting,GB,AS34555 
77.95.180.84,77.95.180.87,business,GB,AS34555 
77.95.180.88,77.95.180.103,hosting,GB,AS34555 
77.95.180.104,77.95.180.111,business,GB,AS34555 
77.95.180.112,77.95.180.127,hosting,GB,AS34555 
77.95.180.128,77.95.180.139,business,GB,AS34555 
77.95.180.140,77.95.180.163,hosting,GB,AS34555 
77.95.180.164,77.95.180.167,business,GB,AS34555 
77.95.180.168,77.95.180.171,hosting,GB,AS34555 
77.95.180.172,77.95.180.175,business,GB,AS34555 
77.95.180.176,77.95.180.231,hosting,GB,AS34555 
77.95.180.232,77.95.180.235,business,GB,AS34555 
77.95.180.236,77.95.180.239,hosting,GB,AS34555 
77.95.180.240,77.95.181.7,business,GB,AS34555 
77.95.181.8,77.95.181.31,hosting,GB,AS34555 
77.95.181.32,77.95.181.127,business,GB,AS34555 
77.95.181.128,77.95.181.159,hosting,GB,AS34555 
77.95.181.160,77.95.181.167,business,GB,AS34555 
77.95.181.168,77.95.181.175,hosting,GB,AS34555 
77.95.181.176,77.95.181.199,business,GB,AS34555 
77.95.181.200,77.95.181.215,hosting,GB,AS34555 
77.95.181.216,77.95.181.223,business,GB,AS34555 
77.95.181.224,77.95.181.239,hosting,GB,AS34555 
77.95.181.240,77.95.181.247,business,GB,AS34555 
77.95.181.248,77.95.182.39,hosting,GB,AS34555 
77.95.182.40,77.95.182.47,business,GB,AS34555 
77.95.182.48,77.95.182.55,hosting,GB,AS34555 
77.95.182.56,77.95.182.63,business,GB,AS34555 
77.95.182.64,77.95.182.95,hosting,GB,AS34555 
77.95.182.96,77.95.182.255,business,GB,AS34555 
77.95.183.0,77.95.183.255,hosting,GB,AS34555 
77.95.184.0,77.95.184.255,isp,AM,AS41965 
77.95.185.0,77.95.185.255,business,AM,AS205368 
77.95.186.0,77.95.190.127,isp,AM,AS41965 
77.95.190.128,77.95.190.191,business,AM,AS41965 
77.95.190.192,77.95.191.119,isp,AM,AS41965 
77.95.191.120,77.95.191.127,business,AM,AS41965 
77.95.191.128,77.95.191.231,isp,AM,AS41965 
77.95.191.232,77.95.191.239,business,AM,AS41965 
77.95.191.240,77.95.191.255,isp,AM,AS41965 
77.95.192.0,77.95.199.255,isp,CZ,AS39235 
77.95.200.0,77.95.207.255,isp,RU,AS43152 
77.95.208.0,77.95.215.255,business,IT,AS43185 
77.95.224.0,77.95.224.186,hosting,NL,AS62370 
77.95.224.187,77.95.224.187,business,NL,AS62370 
77.95.224.188,77.95.225.21,hosting,NL,AS62370 
77.95.225.22,77.95.225.22,business,MT,AS62370 
77.95.225.23,77.95.226.43,hosting,NL,AS62370 
77.95.226.44,77.95.226.46,business,SG,AS62370 
77.95.226.47,77.95.226.47,hosting,NL,AS62370 
77.95.226.48,77.95.226.63,business,SG,AS62370 
77.95.226.64,77.95.226.127,hosting,NL,AS62370 
77.95.226.128,77.95.226.128,business,SG,AS62370 
77.95.226.129,77.95.227.80,hosting,NL,AS62370 
77.95.227.81,77.95.227.83,business,IT,AS62370 
77.95.227.84,77.95.227.122,hosting,NL,AS62370 
77.95.227.123,77.95.227.123,business,NL,AS62370 
77.95.227.124,77.95.227.124,hosting,NL,AS62370 
77.95.227.125,77.95.227.125,business,IT,AS62370 
77.95.227.126,77.95.228.5,hosting,NL,AS62370 
77.95.228.6,77.95.228.6,isp,NL,AS62370 
77.95.228.7,77.95.228.7,hosting,NL,AS62370 
77.95.228.8,77.95.228.10,isp,NL,AS62370 
77.95.228.11,77.95.228.234,hosting,NL,AS62370 
77.95.228.235,77.95.228.235,isp,NL,AS62370 
77.95.228.236,77.95.230.15,hosting,NL,AS62370 
77.95.230.16,77.95.230.19,business,TR,AS62370 
77.95.230.20,77.95.230.21,hosting,NL,AS62370 
77.95.230.22,77.95.230.22,business,TR,AS62370 
77.95.230.23,77.95.230.44,hosting,NL,AS62370 
77.95.230.45,77.95.230.45,business,TR,AS62370 
77.95.230.46,77.95.230.47,hosting,NL,AS62370 
77.95.230.48,77.95.230.48,business,NL,AS62370 
77.95.230.49,77.95.230.60,hosting,NL,AS62370 
77.95.230.61,77.95.230.61,business,TR,AS62370 
77.95.230.62,77.95.231.11,hosting,NL,AS62370 
77.95.231.12,77.95.231.12,business,NL,AS62370 
77.95.231.13,77.95.231.14,hosting,NL,AS62370 
77.95.231.15,77.95.231.15,business,NL,AS62370 
77.95.231.16,77.95.231.16,hosting,NL,AS62370 
77.95.231.17,77.95.231.25,business,NL,AS62370 
77.95.231.26,77.95.231.82,hosting,NL,AS62370 
77.95.231.83,77.95.231.83,hosting,AU,AS62370 
77.95.231.84,77.95.231.226,hosting,NL,AS62370 
77.95.231.227,77.95.231.227,business,NL,AS62370 
77.95.231.228,77.95.231.255,hosting,NL,AS62370 
77.95.232.0,77.95.233.255,hosting,BG,AS25332 
77.95.234.0,77.95.239.255,hosting,PL,AS20853 
77.95.240.0,77.95.247.255,isp,FI,AS20904 
77.95.248.0,77.95.249.127,hosting,NL,AS43190 
77.95.249.128,77.95.249.255,isp,NL,AS43190 
77.95.250.0,77.95.255.255,hosting,NL,AS43190 
