162.246.195.240,162.246.195.255,isp,US,AS62929 
162.246.196.0,162.246.199.255,isp,US,AS21832 
162.246.200.0,162.246.203.255,hosting,US,AS18106 
162.246.204.0,162.246.207.255,isp,US,AS55044 
162.246.208.0,162.246.215.255,isp,US,AS22952 
162.246.216.0,162.246.219.255,business,US,AS393355 
162.246.220.0,162.246.223.255,business,US, 
162.246.224.0,162.246.227.255,isp,US,AS25687 
162.246.228.0,162.246.231.255,isp,US,AS46315 
162.246.232.0,162.246.235.255,business,US, 
162.246.236.0,162.246.239.255,isp,US,AS397790 
162.246.240.0,162.246.247.255,business,US,AS26083 
162.246.248.0,162.246.255.255,hosting,US,AS6428 
