104.239.0.0,104.239.7.255,business,HU,AS205964 
104.239.244.0,104.239.247.255,hosting,US,AS33070 
104.239.248.0,104.239.250.255,hosting,US,AS27357 
104.239.251.0,104.239.251.19,hosting,US,AS19994 
104.239.251.20,104.239.251.31,hosting,US,AS27357 
104.239.251.32,104.239.251.63,hosting,US,AS19994 
104.239.251.64,104.239.251.79,hosting,US,AS27357 
104.239.251.80,104.239.251.83,hosting,US,AS19994 
104.239.251.84,104.239.251.87,hosting,US,AS27357 
104.239.251.88,104.239.251.91,hosting,US,AS19994 
104.239.251.92,104.239.251.99,hosting,US,AS27357 
104.239.251.100,104.239.251.107,hosting,US,AS19994 
104.239.251.108,104.239.251.115,hosting,US,AS27357 
104.239.251.116,104.239.251.119,hosting,US,AS19994 
104.239.251.120,104.239.251.123,hosting,US,AS27357 
104.239.251.124,104.239.251.147,hosting,US,AS19994 
104.239.251.148,104.239.251.163,hosting,US,AS27357 
104.239.251.164,104.239.251.165,hosting,US,AS19994 
104.239.251.166,104.239.251.171,hosting,US,AS27357 
104.239.251.172,104.239.251.191,hosting,US,AS19994 
104.239.251.192,104.239.251.197,hosting,US,AS27357 
104.239.251.198,104.239.251.199,hosting,US,AS19994 
104.239.251.200,104.239.251.203,education,US,AS27357 
104.239.251.204,104.239.251.211,hosting,US,AS27357 
104.239.251.212,104.239.251.231,hosting,US,AS19994 
104.239.251.232,104.239.251.235,hosting,US,AS27357 
104.239.251.236,104.239.251.247,hosting,US,AS19994 
104.239.251.248,104.239.251.255,hosting,US,AS27357 
104.239.252.0,104.239.252.3,hosting,US,AS19994 
104.239.252.4,104.239.252.63,hosting,US,AS27357 
104.239.252.64,104.239.252.67,hosting,US,AS19994 
104.239.252.68,104.239.252.71,hosting,US,AS27357 
104.239.252.72,104.239.252.75,hosting,US,AS19994 
104.239.252.76,104.239.252.95,hosting,US,AS27357 
104.239.252.96,104.239.252.111,hosting,US,AS19994 
104.239.252.112,104.239.252.123,hosting,US,AS27357 
104.239.252.124,104.239.252.127,hosting,US,AS19994 
104.239.252.128,104.239.252.131,hosting,US,AS27357 
104.239.252.132,104.239.252.139,hosting,US,AS19994 
104.239.252.140,104.239.252.143,hosting,US,AS27357 
104.239.252.144,104.239.252.147,hosting,US,AS19994 
104.239.252.148,104.239.252.191,hosting,US,AS27357 
104.239.252.192,104.239.252.195,hosting,US,AS19994 
104.239.252.196,104.239.252.223,hosting,US,AS27357 
104.239.252.224,104.239.252.235,hosting,US,AS19994 
104.239.252.236,104.239.252.251,hosting,US,AS27357 
104.239.252.252,104.239.252.255,hosting,US,AS19994 
104.239.253.0,104.239.253.127,hosting,US,AS27357 
104.239.253.128,104.239.253.191,business,US,AS27357 
104.239.253.192,104.239.253.199,hosting,US,AS27357 
104.239.253.200,104.239.253.207,hosting,US,AS19994 
104.239.253.208,104.239.253.211,business,US,AS27357 
104.239.253.212,104.239.253.215,hosting,US,AS27357 
104.239.253.216,104.239.253.219,business,US,AS27357 
104.239.253.220,104.239.253.223,hosting,US,AS19994 
104.239.253.224,104.239.253.255,business,US,AS27357 
104.239.254.0,104.239.254.215,hosting,US,AS19994 
104.239.254.216,104.239.254.219,hosting,US,AS27357 
104.239.254.220,104.239.254.255,hosting,US,AS19994 
104.239.255.0,104.239.255.7,hosting,US,AS27357 
104.239.255.8,104.239.255.31,hosting,US,AS19994 
104.239.255.32,104.239.255.39,hosting,US,AS27357 
104.239.255.40,104.239.255.79,hosting,US,AS19994 
104.239.255.80,104.239.255.87,hosting,US,AS27357 
104.239.255.88,104.239.255.111,hosting,US,AS19994 
104.239.255.112,104.239.255.135,hosting,US,AS27357 
104.239.255.136,104.239.255.175,hosting,US,AS19994 
104.239.255.176,104.239.255.179,hosting,US,AS27357 
104.239.255.180,104.239.255.187,hosting,US,AS19994 
104.239.255.188,104.239.255.211,hosting,US,AS27357 
104.239.255.212,104.239.255.213,hosting,US,AS19994 
104.239.255.214,104.239.255.215,hosting,GB,AS27357 
104.239.255.216,104.239.255.239,hosting,US,AS19994 
104.239.255.240,104.239.255.243,hosting,US,AS27357 
104.239.255.244,104.239.255.255,hosting,US,AS19994 
