212.8.111.160,212.8.111.187,business,ES,AS12338 
212.8.111.188,212.8.113.63,isp,ES,AS12338 
212.8.113.64,212.8.113.79,business,ES,AS12338 
212.8.113.80,212.8.113.83,isp,ES,AS12338 
212.8.113.84,212.8.113.87,business,ES,AS12338 
212.8.113.88,212.8.113.95,isp,ES,AS12338 
212.8.113.96,212.8.113.127,business,ES,AS12338 
212.8.113.128,212.8.113.135,education,ES,AS12338 
212.8.113.136,212.8.113.255,isp,ES,AS12338 
212.8.114.0,212.8.115.71,business,ES,AS12338 
212.8.115.72,212.8.115.79,education,ES,AS12338 
212.8.115.80,212.8.115.83,business,ES,AS12338 
212.8.115.84,212.8.115.95,isp,ES,AS12338 
212.8.115.96,212.8.115.111,business,ES,AS12338 
212.8.115.112,212.8.115.127,isp,ES,AS12338 
212.8.115.128,212.8.115.131,business,ES,AS12338 
212.8.115.132,212.8.116.111,isp,ES,AS12338 
212.8.116.112,212.8.116.114,business,ES,AS12338 
212.8.116.115,212.8.116.118,isp,ES,AS12338 
212.8.116.119,212.8.116.122,business,ES,AS12338 
212.8.116.123,212.8.116.124,isp,ES,AS12338 
212.8.116.125,212.8.116.125,business,ES,AS12338 
212.8.116.126,212.8.116.126,isp,ES,AS12338 
212.8.116.127,212.8.116.127,business,ES,AS12338 
212.8.116.128,212.8.116.240,isp,ES,AS12338 
212.8.116.241,212.8.116.241,business,ES,AS12338 
212.8.116.242,212.8.116.244,isp,ES,AS12338 
212.8.116.245,212.8.116.245,business,ES,AS12338 
212.8.116.246,212.8.117.39,isp,ES,AS12338 
212.8.117.40,212.8.117.43,business,ES,AS12338 
212.8.117.44,212.8.117.64,isp,ES,AS12338 
212.8.117.65,212.8.117.65,business,ES,AS12338 
212.8.117.66,212.8.117.66,isp,ES,AS12338 
212.8.117.67,212.8.117.67,business,ES,AS12338 
212.8.117.68,212.8.117.68,isp,ES,AS12338 
212.8.117.69,212.8.117.69,business,ES,AS12338 
212.8.117.70,212.8.117.74,isp,ES,AS12338 
212.8.117.75,212.8.117.75,business,ES,AS12338 
212.8.117.76,212.8.117.82,isp,ES,AS12338 
212.8.117.83,212.8.117.83,business,ES,AS12338 
212.8.117.84,212.8.117.91,isp,ES,AS12338 
212.8.117.92,212.8.117.92,business,ES,AS12338 
212.8.117.93,212.8.117.95,isp,ES,AS12338 
212.8.117.96,212.8.117.97,business,ES,AS12338 
212.8.117.98,212.8.117.98,isp,ES,AS12338 
212.8.117.99,212.8.117.99,business,ES,AS12338 
212.8.117.100,212.8.117.100,isp,ES,AS12338 
212.8.117.101,212.8.117.101,education,ES,AS12338 
212.8.117.102,212.8.117.104,isp,ES,AS12338 
212.8.117.105,212.8.117.105,business,ES,AS12338 
