212.142.0.0,212.142.16.255,isp,NL,AS6830 
212.142.228.96,212.142.228.96,isp,ES,AS12338 
212.142.228.97,212.142.228.97,business,ES,AS12338 
212.142.228.98,212.142.228.101,isp,ES,AS12338 
212.142.228.102,212.142.228.102,business,ES,AS12338 
212.142.228.103,212.142.228.104,isp,ES,AS12338 
212.142.228.105,212.142.228.105,business,ES,AS12338 
212.142.228.106,212.142.228.111,isp,ES,AS12338 
212.142.228.112,212.142.228.112,business,ES,AS12338 
212.142.228.113,212.142.228.116,isp,ES,AS12338 
212.142.228.117,212.142.228.118,business,ES,AS12338 
212.142.228.119,212.142.228.120,isp,ES,AS12338 
212.142.228.121,212.142.228.122,business,ES,AS12338 
212.142.228.123,212.142.228.123,isp,ES,AS12338 
212.142.228.124,212.142.228.124,business,ES,AS12338 
212.142.228.125,212.142.228.125,isp,ES,AS12338 
212.142.228.126,212.142.228.126,business,ES,AS12338 
212.142.228.127,212.142.228.131,isp,ES,AS12338 
212.142.228.132,212.142.228.135,business,ES,AS12338 
212.142.228.136,212.142.228.163,isp,ES,AS12338 
212.142.228.164,212.142.228.171,business,ES,AS12338 
212.142.228.172,212.142.228.231,isp,ES,AS12338 
212.142.228.232,212.142.228.239,business,ES,AS12338 
212.142.228.240,212.142.228.243,isp,ES,AS12338 
212.142.228.244,212.142.228.247,business,ES,AS12338 
212.142.228.248,212.142.228.251,isp,ES,AS12338 
212.142.228.252,212.142.228.255,business,ES,AS12338 
212.142.229.0,212.142.237.31,isp,ES,AS12338 
212.142.237.32,212.142.237.47,business,ES,AS12338 
212.142.237.48,212.142.237.199,isp,ES,AS12338 
212.142.237.200,212.142.237.200,business,ES,AS12338 
212.142.237.201,212.142.247.63,isp,ES,AS12338 
212.142.247.64,212.142.247.87,business,ES,AS12338 
212.142.247.88,212.142.247.95,isp,ES,AS12338 
212.142.247.96,212.142.247.101,business,ES,AS12338 
212.142.247.102,212.142.247.102,isp,ES,AS12338 
212.142.247.103,212.142.247.111,business,ES,AS12338 
212.142.247.112,212.142.247.127,isp,ES,AS12338 
212.142.247.128,212.142.247.145,business,ES,AS12338 
212.142.247.146,212.142.247.146,isp,ES,AS12338 
212.142.247.147,212.142.247.207,business,ES,AS12338 
212.142.247.208,212.142.247.210,isp,ES,AS12338 
212.142.247.211,212.142.247.219,business,ES,AS12338 
212.142.247.220,212.142.247.226,isp,ES,AS12338 
212.142.247.227,212.142.247.228,business,ES,AS12338 
212.142.247.229,212.142.247.255,isp,ES,AS12338 
212.142.248.0,212.142.248.255,business,ES,AS12338 
212.142.249.0,212.142.249.163,isp,ES,AS12338 
212.142.249.164,212.142.249.171,business,ES,AS12338 
212.142.249.172,212.142.249.199,isp,ES,AS12338 
212.142.249.200,212.142.249.203,business,ES,AS12338 
212.142.249.204,212.142.249.215,isp,ES,AS12338 
212.142.249.216,212.142.249.255,education,ES,AS12338 
212.142.250.0,212.142.252.22,isp,ES,AS12338 
212.142.252.23,212.142.252.23,business,ES,AS12338 
212.142.252.24,212.142.252.39,isp,ES,AS12338 
212.142.252.40,212.142.252.47,business,ES,AS12338 
212.142.252.48,212.142.252.255,isp,ES,AS12338 
212.142.253.0,212.142.253.127,business,ES,AS12338 
212.142.253.128,212.142.255.255,isp,ES,AS12338 
