212.123.0.0,212.123.31.255,isp,BE,AS6848 
212.123.251.0,212.123.251.143,isp,NL,AS8220 
212.123.251.144,212.123.251.167,business,NL,AS8220 
212.123.251.168,212.123.251.175,isp,NL,AS8220 
212.123.251.176,212.123.251.191,business,NL,AS8220 
212.123.251.192,212.123.252.255,isp,NL,AS8220 
212.123.253.0,212.123.253.7,business,NL,AS8220 
212.123.253.8,212.123.253.55,isp,NL,AS8220 
212.123.253.56,212.123.253.87,business,NL,AS8220 
212.123.253.88,212.123.253.103,isp,NL,AS8220 
212.123.253.104,212.123.253.111,business,NL,AS8220 
212.123.253.112,212.123.253.119,isp,NL,AS8220 
212.123.253.120,212.123.253.135,business,NL,AS8220 
212.123.253.136,212.123.253.151,isp,NL,AS8220 
212.123.253.152,212.123.253.191,business,NL,AS8220 
212.123.253.192,212.123.254.7,isp,NL,AS8220 
212.123.254.8,212.123.254.39,business,DE,AS8220 
212.123.254.40,212.123.254.47,isp,DE,AS8220 
212.123.254.48,212.123.254.95,business,DE,AS8220 
212.123.254.96,212.123.254.103,isp,DE,AS8220 
212.123.254.104,212.123.254.127,business,DE,AS8220 
212.123.254.128,212.123.254.135,isp,NL,AS8220 
212.123.254.136,212.123.254.143,business,DE,AS8220 
212.123.254.144,212.123.254.151,isp,DE,AS8220 
212.123.254.152,212.123.254.159,isp,NL,AS8220 
212.123.254.160,212.123.254.167,business,DE,AS8220 
212.123.254.168,212.123.254.175,isp,DE,AS8220 
212.123.254.176,212.123.254.183,business,DE,AS8220 
212.123.254.184,212.123.254.191,isp,DE,AS8220 
212.123.254.192,212.123.254.223,business,DE,AS8220 
212.123.254.224,212.123.254.231,isp,DE,AS8220 
212.123.254.232,212.123.254.239,business,DE,AS8220 
212.123.254.240,212.123.254.247,isp,DE,AS8220 
212.123.254.248,212.123.254.255,business,DE,AS8220 
212.123.255.0,212.123.255.7,isp,DE,AS8220 
212.123.255.8,212.123.255.39,business,DE,AS8220 
212.123.255.40,212.123.255.47,isp,DE,AS8220 
212.123.255.48,212.123.255.63,business,DE,AS8220 
212.123.255.64,212.123.255.79,isp,DE,AS8220 
212.123.255.80,212.123.255.95,business,DE,AS8220 
212.123.255.96,212.123.255.111,isp,DE,AS8220 
212.123.255.112,212.123.255.119,business,DE,AS8220 
212.123.255.120,212.123.255.135,isp,DE,AS8220 
212.123.255.136,212.123.255.143,isp,DK,AS8220 
212.123.255.144,212.123.255.159,isp,DE,AS8220 
212.123.255.160,212.123.255.167,isp,NL,AS8220 
212.123.255.168,212.123.255.175,isp,DE,AS8220 
212.123.255.176,212.123.255.191,isp,NL,AS8220 
212.123.255.192,212.123.255.239,business,DE,AS8220 
212.123.255.240,212.123.255.247,isp,NL,AS8220 
212.123.255.248,212.123.255.255,isp,DE,AS8220 
