123.231.166.176,123.231.166.191,isp,ID 
123.231.166.192,123.231.166.199,business,ID 
123.231.166.200,123.231.166.231,isp,ID 
123.231.166.232,123.231.166.239,business,ID 
123.231.166.240,123.231.167.119,isp,ID 
123.231.167.120,123.231.167.131,business,ID 
123.231.167.132,123.231.167.207,isp,ID 
123.231.167.208,123.231.167.215,business,ID 
123.231.167.216,123.231.168.15,isp,ID 
123.231.168.16,123.231.168.23,business,ID 
123.231.168.24,123.231.168.47,isp,ID 
123.231.168.48,123.231.168.67,business,ID 
123.231.168.68,123.231.168.79,isp,ID 
123.231.168.80,123.231.168.83,business,ID 
123.231.168.84,123.231.168.91,isp,ID 
123.231.168.92,123.231.168.95,business,ID 
123.231.168.96,123.231.168.135,isp,ID 
123.231.168.136,123.231.168.143,business,ID 
123.231.168.144,123.231.168.191,isp,ID 
123.231.168.192,123.231.168.199,business,ID 
123.231.168.200,123.231.168.215,isp,ID 
123.231.168.216,123.231.168.219,business,ID 
123.231.168.220,123.231.169.39,isp,ID 
123.231.169.40,123.231.169.47,business,ID 
123.231.169.48,123.231.169.55,isp,ID 
123.231.169.56,123.231.169.71,business,ID 
123.231.169.72,123.231.169.103,isp,ID 
123.231.169.104,123.231.169.107,business,ID 
123.231.169.108,123.231.169.127,isp,ID 
123.231.169.128,123.231.169.195,business,ID 
123.231.169.196,123.231.169.215,isp,ID 
123.231.169.216,123.231.169.247,business,ID 
123.231.169.248,123.231.169.255,isp,ID 
123.231.170.0,123.231.170.3,business,ID 
123.231.170.4,123.231.170.19,isp,ID 
123.231.170.20,123.231.170.31,business,ID 
123.231.170.32,123.231.170.39,isp,ID 
123.231.170.40,123.231.170.111,business,ID 
123.231.170.112,123.231.170.119,isp,ID 
123.231.170.120,123.231.170.215,business,ID 
123.231.170.216,123.231.170.247,isp,ID 
123.231.170.248,123.231.170.255,business,ID 
123.231.171.0,123.231.171.7,isp,ID 
123.231.171.8,123.231.171.39,business,ID 
123.231.171.40,123.231.171.47,isp,ID 
123.231.171.48,123.231.171.111,business,ID 
123.231.171.112,123.231.171.135,isp,ID 
123.231.171.136,123.231.171.143,business,ID 
123.231.171.144,123.231.171.183,isp,ID 
123.231.171.184,123.231.171.191,business,ID 
123.231.171.192,123.231.171.247,isp,ID 
123.231.171.248,123.231.171.255,business,ID 
123.231.172.0,123.231.172.247,isp,ID 
123.231.172.248,123.231.172.251,business,ID 
123.231.172.252,123.231.173.7,isp,ID 
123.231.173.8,123.231.173.19,business,ID 
123.231.173.20,123.231.173.27,isp,ID 
123.231.173.28,123.231.173.31,business,ID 
123.231.173.32,123.231.173.35,isp,ID 
123.231.173.36,123.231.173.39,business,ID 
123.231.173.40,123.231.173.255,isp,ID 
123.231.174.0,123.231.174.15,business,ID 
123.231.174.16,123.231.174.23,isp,ID 
123.231.174.24,123.231.174.39,business,ID 
123.231.174.40,123.231.174.55,isp,ID 
123.231.174.56,123.231.174.63,education,ID 
123.231.174.64,123.231.174.71,business,ID 
123.231.174.72,123.231.174.79,isp,ID 
123.231.174.80,123.231.174.87,business,ID 
123.231.174.88,123.231.174.111,isp,ID 
123.231.174.112,123.231.174.199,business,ID 
123.231.174.200,123.231.174.207,isp,ID 
123.231.174.208,123.231.174.255,business,ID 
123.231.175.0,123.231.175.3,isp,ID 
123.231.175.4,123.231.175.7,business,ID 
123.231.175.8,123.231.175.55,isp,ID 
123.231.175.56,123.231.175.59,business,ID 
123.231.175.60,123.231.175.247,isp,ID 
123.231.175.248,123.231.175.255,business,ID 
123.231.176.0,123.231.176.7,isp,ID 
123.231.176.8,123.231.176.39,business,ID 
123.231.176.40,123.231.176.47,isp,ID 
123.231.176.48,123.231.176.55,business,ID 
123.231.176.56,123.231.176.63,isp,ID 
123.231.176.64,123.231.176.239,business,ID 
123.231.176.240,123.231.176.255,isp,ID 
123.231.177.0,123.231.177.7,business,ID 
123.231.177.8,123.231.177.215,isp,ID 
123.231.177.216,123.231.177.223,business,ID 
123.231.177.224,123.231.177.255,isp,ID 
123.231.178.0,123.231.178.39,business,ID 
123.231.178.40,123.231.178.47,isp,ID 
123.231.178.48,123.231.178.63,business,ID 
123.231.178.64,123.231.178.71,isp,ID 
123.231.178.72,123.231.178.111,business,ID 
123.231.178.112,123.231.178.143,isp,ID 
123.231.178.144,123.231.178.255,business,ID 
123.231.179.0,123.231.179.31,isp,ID 
123.231.179.32,123.231.179.35,business,ID 
123.231.179.36,123.231.179.103,isp,ID 
123.231.179.104,123.231.179.119,business,ID 
123.231.179.120,123.231.179.143,isp,ID 
123.231.179.144,123.231.179.159,business,ID 
123.231.179.160,123.231.179.239,isp,ID 
123.231.179.240,123.231.179.255,business,ID 
123.231.180.0,123.231.180.15,isp,ID 
123.231.180.16,123.231.180.63,business,ID 
123.231.180.64,123.231.180.79,isp,ID 
123.231.180.80,123.231.180.95,business,ID 
123.231.180.96,123.231.180.103,isp,ID 
123.231.180.104,123.231.180.111,business,ID 
