188.93.234.0,188.93.234.255,isp,PT,AS47674 
188.93.235.0,188.93.235.255,business,PT,AS47674 
188.93.236.0,188.93.237.255,business,MO,AS47674 
188.93.238.0,188.93.239.255,hosting,PT,AS47674 
188.93.240.0,188.93.240.255,business,RU,AS31376 
188.93.241.0,188.93.241.175,isp,RU,AS31376 
188.93.241.176,188.93.241.191,business,RU,AS31376 
188.93.241.192,188.93.241.255,isp,RU,AS31376 
188.93.242.0,188.93.246.255,business,RU,AS31376 
188.93.247.0,188.93.247.127,isp,RU,AS31376 
188.93.247.128,188.93.247.143,business,RU,AS31376 
188.93.247.144,188.93.247.255,isp,RU,AS31376 
188.93.248.0,188.93.255.255,business,AT, 
